,增长,通胀,利率,信用,海外,美元
2008-01-06,,,,,,
2008-01-13,,,,,,
2008-01-20,,,,,,
2008-01-27,,,,,,
2008-02-03,,,,,,
2008-02-10,,,,,,
2008-02-17,,,,,,
2008-02-24,,,,,,
2008-03-02,,,,,,
2008-03-09,,,,,,
2008-03-16,,,,,,
2008-03-23,,,,,,
2008-03-30,,,,,,
2008-04-06,,,,,,
2008-04-13,,,,,,
2008-04-20,,,,,,
2008-04-27,,,,,,
2008-05-04,,,,,,
2008-05-11,,,,,,
2008-05-18,,,,,,
2008-05-25,,,,,,
2008-06-01,,,,,,
2008-06-08,,,,,,
2008-06-15,,,,,,
2008-06-22,,,,,,
2008-06-29,,,,,,
2008-07-06,,,,,,
2008-07-13,,,,,,
2008-07-20,,,,,,
2008-07-27,,,,,,
2008-08-03,,,,,,
2008-08-10,,,,,,
2008-08-17,,,,,,
2008-08-24,,,,,,
2008-08-31,,,,,,
2008-09-07,,,,,,
2008-09-14,,,,,,
2008-09-21,,,,,,
2008-09-28,,,,,,
2008-10-05,,,,,,
2008-10-12,,,,,,
2008-10-19,,,,,,
2008-10-26,,,,,,
2008-11-02,,,,,,
2008-11-09,,,,,,
2008-11-16,,,,,,
2008-11-23,,,,,,
2008-11-30,,,,,,
2008-12-07,,,,,,
2008-12-14,,,,,,
2008-12-21,,,,,,
2008-12-28,,,,,,
2009-01-04,,,,,,
2009-01-11,,,,,,
2009-01-18,,,,,,
2009-01-25,,,,,,
2009-02-01,,,,,,
2009-02-08,,,,,,
2009-02-15,,,,,,
2009-02-22,,,,,,
2009-03-01,,,,,,
2009-03-08,,,,,,
2009-03-15,1.0,,-1.0,1.0,-1.0,1.0
2009-03-22,1.0,,-1.0,1.0,-1.0,-1.0
2009-03-29,1.0,,-1.0,1.0,-1.0,1.0
2009-04-05,1.0,,-1.0,-1.0,-1.0,-1.0
2009-04-12,1.0,,-1.0,-1.0,-1.0,1.0
2009-04-19,1.0,,-1.0,-1.0,-1.0,1.0
2009-04-26,1.0,,-1.0,-1.0,-1.0,-1.0
2009-05-03,1.0,,-1.0,-1.0,-1.0,-1.0
2009-05-10,1.0,,-1.0,-1.0,1.0,-1.0
2009-05-17,1.0,,1.0,-1.0,-1.0,-1.0
2009-05-24,1.0,,1.0,-1.0,1.0,-1.0
2009-05-31,1.0,,1.0,-1.0,1.0,-1.0
2009-06-07,1.0,,1.0,-1.0,1.0,-1.0
2009-06-14,1.0,,1.0,-1.0,-1.0,-1.0
2009-06-21,1.0,,1.0,-1.0,1.0,-1.0
2009-06-28,1.0,,1.0,-1.0,-1.0,-1.0
2009-07-05,1.0,,1.0,-1.0,-1.0,-1.0
2009-07-12,1.0,,-1.0,1.0,-1.0,1.0
2009-07-19,1.0,1.0,-1.0,1.0,-1.0,-1.0
