,增长,通胀,利率,信用,海外,美元
2008-01-06,,,,,,
2008-01-13,,,,,,
2008-01-20,,,,,,
2008-01-27,,,,,,
2008-02-03,,,,,,
2008-02-10,,,,,,
2008-02-17,,,,,,
2008-02-24,,,,,,
2008-03-02,,,,,,
2008-03-09,,,,,,
2008-03-16,,,,,,
2008-03-23,,,,,,
2008-03-30,,,,,,
2008-04-06,,,,,,
2008-04-13,,,,,,
2008-04-20,,,,,,
2008-04-27,,,,,,
2008-05-04,,,,,,
2008-05-11,,,,,,
2008-05-18,,,,,,
2008-05-25,,,,,,
2008-06-01,,,,,,
2008-06-08,,,,,,
2008-06-15,,,,,,
2008-06-22,,,,,,
2008-06-29,,,,,,
2008-07-06,,,,,,
2008-07-13,,,,,,
2008-07-20,,,,,,
2008-07-27,,,,,,
2008-08-03,,,,,,
2008-08-10,,,,,,
2008-08-17,,,,,,
2008-08-24,,,,,,
2008-08-31,,,,,,
2008-09-07,,,,,,
2008-09-14,,,,,,
2008-09-21,,,,,,
2008-09-28,,,,,,
2008-10-05,,,,,,
2008-10-12,,,,,,
2008-10-19,,,,,,
2008-10-26,,,,,,
2008-11-02,,,,,,
2008-11-09,,,,,,
2008-11-16,,,,,,
2008-11-23,,,,,,
2008-11-30,,,,,,
2008-12-07,,,,,,
2008-12-14,,,,,,
2008-12-21,,,,,,
2008-12-28,,,,,,
2009-01-04,,0.0,,,,
2009-01-11,-0.4070637543325084,0.0,0.1409765948427324,0.008009168328388494,0.11399620392740117,0.08564662544401958
2009-01-18,-0.4108607547375911,0.0,0.12625625595420287,0.01621179231909098,0.09787217646140078,0.10057621791513816
2009-01-25,-0.4223145414813517,0.0,0.11965041431518864,0.02038095880325219,0.09500064006413123,0.12703136934706372
2009-02-01,-0.4216353959179179,0.0,0.11231579028176197,0.022522194164005915,0.08500748457426655,0.13350993377483356
2009-02-08,-0.3871475250541342,0.0,0.09712703068572859,0.030283191394139486,0.07530029806517247,0.1306272867066114
2009-02-15,-0.3802767564758942,0.0,0.10397836404469163,0.024794811349676982,0.06542273684296074,0.1322813938198546
2009-02-22,-0.40541420193761646,0.0,0.1056646039066762,0.02731683361192383,0.06078787428979027,0.14713283008872913
2009-03-01,-0.4120433200165202,0.0,0.10549989498986889,0.031829989792157454,0.0792831218985186,0.19525423728813474
2009-03-08,-0.3973009247615734,0.0,0.10515011971486121,0.03726928607504676,0.062014525099676865,0.21356164383561538
2009-03-15,-0.40274347376876984,0.0,0.10503973014575219,0.03315047792663628,0.07366227097258937,0.21786461967899395
2009-03-22,-0.37526904510038817,0.0,0.10531635574315357,0.03256599560571338,0.07333225579506464,0.1498626373626366
2009-03-29,-0.35092287754608165,0.0,0.10248252912939027,0.030468812404241374,0.060595420376956755,0.1891061452513958
