指标名称,预期差
2008-02-29,-0.8799999999999999
2008-03-31,1.6500000000000004
2008-04-30,-0.28000000000000114
2008-05-31,-0.17999999999999972
2008-06-30,0.379999999999999
2008-07-31,0.7699999999999996
2008-08-31,0.34999999999999964
2008-09-30,-0.4299999999999997
2008-10-31,-0.79
2008-11-30,-2.3499999999999996
2008-12-31,-0.3699999999999999
2009-01-31,-1.0700000000000003
2009-02-28,-0.3700000000000001
2009-03-31,-0.1299999999999999
2009-04-30,0.20999999999999996
2009-05-31,-0.5499999999999998
2009-06-30,-0.2999999999999998
2009-07-31,0.08999999999999986
2009-08-31,0.009999999999999787
2009-09-30,-0.009999999999999787
2009-10-31,-0.5499999999999998
2009-11-30,0.31999999999999984
2009-12-31,0.83
2010-01-31,0.4500000000000002
2010-02-28,0.20999999999999996
2010-03-31,-0.33000000000000007
2010-04-30,0.1899999999999995
2010-05-31,0.47999999999999954
2010-06-30,-0.1899999999999995
2010-07-31,-0.8600000000000003
2010-08-31,-0.20999999999999996
2010-09-30,0.08000000000000007
2010-10-31,0.3099999999999996
2010-11-30,0.8499999999999996
2010-12-31,0.22999999999999954
2011-01-31,0.33999999999999986
2011-02-28,0.47000000000000064
2011-03-31,0.0699999999999994
2011-04-30,-0.1999999999999993
2011-05-31,0.33000000000000007
2011-06-30,0.20000000000000018
2011-07-31,0.25
2011-08-31,0.15000000000000036
2011-09-30,-0.2400000000000002
2011-10-31,-0.7199999999999998
2011-11-30,-0.75
2011-12-31,-0.14000000000000012
2012-01-31,0.0
2012-02-29,1.53
2012-03-31,-0.08000000000000002
2012-04-30,-0.20999999999999996
2012-05-31,-0.20999999999999996
2012-06-30,-0.20999999999999996
2012-07-31,-0.56
2012-08-31,-0.3599999999999999
2012-09-30,-0.040000000000000036
2012-10-31,-0.009999999999999787
2012-11-30,-0.17000000000000037
2012-12-31,-0.08999999999999986
2013-01-31,-2.0
2013-02-28,-2.0
2013-03-31,-2.0
2013-04-30,-2.0
2013-05-31,-2.0
2013-06-30,-2.0
2013-07-31,-1.0
2013-08-31,-1.0
2013-09-30,2.0
2013-10-31,1.0
2013-11-30,1.0
2013-12-31,1.0
2014-01-31,1.0
2014-02-28,1.0
2014-03-31,-2.0
2014-04-30,-2.0
2014-05-31,-2.0
2014-06-30,-2.0
2014-07-31,-2.0
2014-08-31,1.0
2014-09-30,1.0
2014-10-31,-2.0
2014-11-30,-2.0
2014-12-31,-2.0
2015-01-31,-2.0
2015-02-28,-2.0
2015-03-31,-2.0
2015-04-30,-2.0
2015-05-31,-2.0
2015-06-30,-2.0
2015-07-31,-2.0
2015-08-31,-2.0
2015-09-30,-2.0
2015-10-31,-2.0
2015-11-30,-2.0
2015-12-31,1.0
2016-01-31,1.0
2016-02-29,1.0
2016-03-31,1.0
2016-04-30,1.0
2016-05-31,1.0
2016-06-30,1.0
2016-07-31,2.0
2016-08-31,2.0
2016-09-30,2.0
2016-10-31,2.0
2016-11-30,2.0
2016-12-31,2.0
2017-01-31,2.0
2017-02-28,2.0
2017-03-31,2.0
2017-04-30,2.0
2017-05-31,2.0
2017-06-30,2.0
2017-07-31,2.0
2017-08-31,2.0
2017-09-30,-1.0
2017-10-31,2.0
2017-11-30,2.0
2017-12-31,2.0
2018-01-31,2.0
2018-02-28,-1.0
2018-03-31,-1.0
2018-04-30,-1.0
2018-05-31,-1.0
2018-06-30,-1.0
2018-07-31,2.0
2018-08-31,2.0
2018-09-30,2.0
2018-10-31,2.0
2018-11-30,2.0
2018-12-31,-1.0
2019-01-31,-1.0
2019-02-28,-1.0
2019-03-31,-1.0
2019-04-30,-1.0
2019-05-31,-2.0
2019-06-30,-2.0
2019-07-31,-2.0
2019-08-31,-2.0
2019-09-30,-2.0
2019-10-31,-2.0
2019-11-30,-2.0
2019-12-31,-2.0
2020-01-31,-2.0
2020-02-29,-2.0
2020-03-31,-2.0
2020-04-30,-2.0
2020-05-31,-2.0
2020-06-30,-2.0
2020-07-31,-2.0
2020-08-31,-2.0
2020-09-30,-2.0
2020-10-31,-2.0
2020-11-30,-2.0
2020-12-31,-2.0
2021-01-31,-2.0
2021-02-28,1.0
2021-03-31,1.0
2021-04-30,1.0
2021-05-31,1.0
2021-06-30,1.0
2021-07-31,1.0
2021-08-31,1.0
2021-09-30,2.0
2021-10-31,2.0
2021-11-30,2.0
2021-12-31,2.0
2022-01-31,2.0
2022-02-28,2.0
2022-03-31,2.0
2022-04-30,2.0
2022-05-31,2.0
2022-06-30,-1.0
2022-07-31,-1.0
2022-08-31,-1.0
2022-09-30,-1.0
2022-10-31,-1.0
2022-11-30,
2022-12-31,
2023-01-31,
2023-02-28,
2023-03-31,
2023-04-30,
2023-05-31,
2023-06-30,
2023-07-31,
2023-08-31,
2023-09-30,
2023-10-31,
2023-11-30,
2023-12-31,
